_latitude,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,location,location_address,location_city,location_state,location_zip,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,state_code,suppression_used,total_amount_reimbursed,units_reimbursed,utilization_type
33.8191,-80.9066,1/1,2016-01-01T00:00:00.000,59011,POINT (-80.9066 33.8191),,,,,,59011075704,,,04,2016,0757,BUTRANS,1,SC,true,,,FFSU
47.3917,-121.5708,7/1,2016-07-01T00:00:00.000,67877,POINT (-121.5708 47.3917),,,,,15171.12,67877011601,0,1093,01,2016,0116,Methadone,3,WA,false,15171.12,130004,MCOU
36.17,-119.7462,4/1,2016-04-01T00:00:00.000,00406,POINT (-119.7462 36.17),,,,,,00406575562,,,62,2016,5755,METHADONE,2,CA,true,,,FFSU
,,7/1,2016-07-01T00:00:00.000,00406,,,,,,,00406254001,,,01,2016,2540,METHADONE,3,XX,true,,,FFSU
43.4108,-71.5653,7/1,2016-07-01T00:00:00.000,00054,POINT (-71.5653 43.4108),,,,,,00054855324,,,24,2016,8553,METHADONE,3,NH,true,,,FFSU
31.106,-97.6475,1/1,2016-01-01T00:00:00.000,00054,POINT (-97.6475 31.106),,,,,538.24,00054355663,2.09,16,63,2016,3556,METHADONE,1,TX,false,540.33,4072.5,FFSU
33.7712,-111.3877,1/1,2016-01-01T00:00:00.000,00054,POINT (-111.3877 33.7712),,,,,,00054355344,,,44,2016,3553,METHADONE,1,AZ,true,,,MCOU
61.385,-152.2683,1/1,2016-01-01T00:00:00.000,12496,POINT (-152.2683 61.385),,,,,8214.19,12496120203,446.43,88,03,2016,1202,SUBOXONE,1,AK,false,8660.62,2093,FFSU
41.1289,-98.2883,7/1,2016-07-01T00:00:00.000,00406,POINT (-98.2883 41.1289),,,,,1873.57,00406577101,0,103,01,2016,5771,METHADONE,3,NE,false,1873.57,10576,FFSU
41.1289,-98.2883,7/1,2016-07-01T00:00:00.000,00054,POINT (-98.2883 41.1289),,,,,1149.5,00054457025,32.62,54,25,2016,4570,METHADONE,3,NE,false,1182.12,4978,FFSU
37.768,-78.2057,1/1,2016-01-01T00:00:00.000,00054,POINT (-78.2057 37.768),,,,,,00054355563,,,63,2016,3555,METHADONE,1,VA,true,,,FFSU
42.1497,-74.9384,7/1,2016-07-01T00:00:00.000,00406,POINT (-74.9384 42.1497),,,,,887.64,00406577162,0,22,62,2016,5771,METHADONE,3,NY,false,887.64,3382,MCOU
31.106,-97.6475,1/1,2016-01-01T00:00:00.000,00054,POINT (-97.6475 31.106),,,,,241.13,00054457125,0,13,25,2016,4571,METHADONE,1,TX,false,241.13,2500,FFSU
37.768,-78.2057,4/1,2016-04-01T00:00:00.000,67877,POINT (-78.2057 37.768),,,,,14661.68,67877011601,0,347,01,2016,0116,Methadone,2,VA,false,14661.68,42991,MCOU
40.3736,-82.7755,7/1,2016-07-01T00:00:00.000,00054,POINT (-82.7755 40.3736),,,,,153.26,00054355563,0.24,27,63,2016,3555,METHADONE,3,OH,false,153.5,2348.8,MCOU
38.468,-80.9696,1/1,2016-01-01T00:00:00.000,00054,POINT (-80.9696 38.468),,,,,,00054457025,,,25,2016,4570,METHADONE,1,WV,true,,,FFSU
43.3504,-84.5603,4/1,2016-04-01T00:00:00.000,00054,POINT (-84.5603 43.3504),,,,,801.44,00054457125,55.76,33,25,2016,4571,METHADONE,2,MI,false,857.2,5155,FFSU
,,1/1,2016-01-01T00:00:00.000,13107,,,,,,,13107008901,,,01,2016,0089,METHADONE,1,XX,true,,,FFSU
44.2394,-114.5103,1/1,2016-01-01T00:00:00.000,12496,POINT (-114.5103 44.2394),,,,,,12496120403,,,03,2016,1204,SUBOXONE,1,ID,true,,,FFSU
32.9866,-83.6487,10/1,2016-10-01T00:00:00.000,13107,POINT (-83.6487 32.9866),,,,,3754.09,13107008901,0,165,01,2016,0089,Methadone,4,GA,false,3754.09,17205,FFSU
42.0046,-93.214,4/1,2016-04-01T00:00:00.000,67877,POINT (-93.214 42.0046),,,,,639.31,67877011601,0,27,01,2016,0116,Methadone,2,IA,false,639.31,2965,FFSU
33.8191,-80.9066,7/1,2016-07-01T00:00:00.000,00054,POINT (-80.9066 33.8191),,,,,314.32,00054457125,0,20,25,2016,4571,METHADONE,3,SC,false,314.32,2034,FFSU
42.7475,-107.2085,4/1,2016-04-01T00:00:00.000,00054,POINT (-107.2085 42.7475),,,,,,00054457125,,,25,2016,4571,METHADONE,2,WY,true,,,FFSU
36.17,-119.7462,1/1,2016-01-01T00:00:00.000,66689,POINT (-119.7462 36.17),,,,,,66689071216,,,16,2016,0712,METHADONE,1,CA,true,,,MCOU
40.3736,-82.7755,7/1,2016-07-01T00:00:00.000,00054,POINT (-82.7755 40.3736),,,,,,00054855424,,,24,2016,8554,METHADONE,3,OH,true,,,MCOU
21.1098,-157.5311,1/1,2016-01-01T00:00:00.000,00406,POINT (-157.5311 21.1098),,,,,475.69,00406575501,0,29,01,2016,5755,METHADONE,1,HI,false,475.69,1897,MCOU
33.8191,-80.9066,7/1,2016-07-01T00:00:00.000,00406,POINT (-80.9066 33.8191),,,,,1075.57,00406577101,0,28,01,2016,5771,METHADONE,3,SC,false,1075.57,6972,FFSU
39.0724,-76.7902,7/1,2016-07-01T00:00:00.000,00406,POINT (-76.7902 39.0724),,,,,3297.17,00406575501,179,320,01,2016,5755,METHADONE,3,MD,false,3476.17,20812,MCOU
36.17,-119.7462,7/1,2016-07-01T00:00:00.000,13107,POINT (-119.7462 36.17),,,,,1786.13,13107008801,0,79,01,2016,0088,METHADONE,3,CA,false,1786.13,6178,FFSU
,,7/1,2016-07-01T00:00:00.000,13107,,,,,,148786.33,13107008901,709.12,5944,01,2016,0089,METHADONE,3,XX,false,149495.45,750058,MCOU
42.1497,-74.9384,1/1,2016-01-01T00:00:00.000,00054,POINT (-74.9384 42.1497),,,,,,00054355344,,,44,2016,3553,METHADONE,1,NY,true,,,MCOU
44.5672,-122.1269,1/1,2016-01-01T00:00:00.000,00054,POINT (-122.1269 44.5672),,,,,,00054355563,,,63,2016,3555,METHADONE,1,OR,true,,,MCOU
40.5773,-77.264,7/1,2016-07-01T00:00:00.000,67877,POINT (-77.264 40.5773),,,,,19368.09,67877011601,186.77,1177,01,2016,0116,Methadone,3,PA,false,19554.86,150788,MCOU
42.1497,-74.9384,7/1,2016-07-01T00:00:00.000,00406,POINT (-74.9384 42.1497),,,,,,00406575562,,,62,2016,5755,METHADONE,3,NY,true,,,MCOU
35.6411,-79.8431,7/1,2016-07-01T00:00:00.000,00904,POINT (-79.8431 35.6411),,,,,,00904653060,,,60,2016,6530,METHADONE,3,NC,true,,,FFSU
44.6074,-69.3977,4/1,2016-04-01T00:00:00.000,12496,POINT (-69.3977 44.6074),,,,,,12496120801,,,01,2016,1208,SUBOXONE,2,ME,true,,,FFSU
39.0646,-105.3272,1/1,2016-01-01T00:00:00.000,00054,POINT (-105.3272 39.0646),,,,,,00054457125,,,25,2016,4571,METHADONE,1,CO,true,,,MCOU
,,4/1,2016-04-01T00:00:00.000,66689,,,,,,2679.37,66689069430,12.19,25,30,2016,0694,METHADONE,2,XX,false,2691.56,3734,FFSU
33.7712,-111.3877,4/1,2016-04-01T00:00:00.000,00406,POINT (-111.3877 33.7712),,,,,,00406577101,,,01,2016,5771,METHADONE,2,AZ,true,,,FFSU
,,1/1,2016-01-01T00:00:00.000,67457,,,,,,5071.49,67457021720,1,30,20,2016,0217,METHADONE,1,XX,false,5072.49,335.08,FFSU
38.468,-80.9696,4/1,2016-04-01T00:00:00.000,59385,POINT (-80.9696 38.468),,,,,8218.33,59385001430,79.05,51,30,2016,0014,BUNAVAIL,2,WV,false,8297.38,1107,MCOU
39.3498,-75.5148,1/1,2016-01-01T00:00:00.000,67457,POINT (-75.5148 39.3498),,,,,,67457021720,,,20,2016,0217,Methadone,1,DE,true,,,MCOU
21.1098,-157.5311,4/1,2016-04-01T00:00:00.000,00054,POINT (-157.5311 21.1098),,,,,24196.78,00054457125,27.75,187,25,2016,4571,METHADONE,2,HI,false,24224.53,23597,MCOU
33.7712,-111.3877,1/1,2016-01-01T00:00:00.000,00054,POINT (-111.3877 33.7712),,,,,,00054855324,,,24,2016,8553,METHADONE,1,AZ,true,,,MCOU
42.1497,-74.9384,4/1,2016-04-01T00:00:00.000,00054,POINT (-74.9384 42.1497),,,,,606.05,00054355563,15.64,46,63,2016,3555,METHADONE,2,NY,false,621.69,8046,FFSU
42.2373,-71.5314,1/1,2016-01-01T00:00:00.000,00054,POINT (-71.5314 42.2373),,,,,853.31,00054355563,63.49,25,63,2016,3555,METHADONE,1,MA,false,916.8,13678,FFSU
40.5773,-77.264,1/1,2016-01-01T00:00:00.000,00054,POINT (-77.264 40.5773),,,,,,00054355344,,,44,2016,3553,METHADONE,1,PA,true,,,FFSU
40.3736,-82.7755,1/1,2016-01-01T00:00:00.000,13107,POINT (-82.7755 40.3736),,,,,,13107008801,,,01,2016,0088,Methadone,1,OH,true,,,MCOU
46.9048,-110.3261,4/1,2016-04-01T00:00:00.000,68084,POINT (-110.3261 46.9048),,,,,,68084073801,,,01,2016,0738,METHADONE,2,MT,true,,,FFSU
,,4/1,2016-04-01T00:00:00.000,00406,,,,,,756.18,00406575562,3971.59,64,62,2016,5755,METHADONE,2,XX,false,4727.77,3161,MCOU
43.3504,-84.5603,10/1,2016-10-01T00:00:00.000,12496,POINT (-84.5603 43.3504),,,,,74048.46,12496120203,701.49,1083,03,2016,1202,SUBOXONE,4,MI,false,74749.95,17960,FFSU
45.7326,-93.9196,4/1,2016-04-01T00:00:00.000,00406,POINT (-93.9196 45.7326),,,,,466.79,00406575501,27.5,24,01,2016,5755,METHADONE,2,MN,false,494.29,1895,FFSU
27.8333,-81.717,7/1,2016-07-01T00:00:00.000,59011,POINT (-81.717 27.8333),,,,,4071.59,59011075004,0,18,04,2016,0750,BUTRANS,3,FL,false,4071.59,72,FFSU
43.3504,-84.5603,4/1,2016-04-01T00:00:00.000,00406,POINT (-84.5603 43.3504),,,,,683.22,00406577162,0,16,62,2016,5771,METHADONE,2,MI,false,683.22,2534,MCOU
43.4108,-71.5653,7/1,2016-07-01T00:00:00.000,00054,POINT (-71.5653 43.4108),,,,,,00054457025,,,25,2016,4570,METHADONE,3,NH,true,,,FFSU
36.17,-119.7462,7/1,2016-07-01T00:00:00.000,00054,POINT (-119.7462 36.17),,,,,,00054855424,,,24,2016,8554,METHADONE,3,CA,true,,,FFSU
44.2563,-89.6385,10/1,2016-10-01T00:00:00.000,00054,POINT (-89.6385 44.2563),,,,,440.47,00054355563,20.05,31,63,2016,3555,METHADONE,4,WI,false,460.52,5343,FFSU
42.0046,-93.214,4/1,2016-04-01T00:00:00.000,00054,POINT (-93.214 42.0046),,,,,427.67,00054355563,0,14,63,2016,3555,METHADONE,2,IA,false,427.67,6683.6,MCOU
32.9866,-83.6487,4/1,2016-04-01T00:00:00.000,13107,POINT (-83.6487 32.9866),,,,,,13107008901,,,01,2016,0089,Methadone,2,GA,true,,,MCOU
