_latitude,_location,_location_address,_location_city,_location_state,_location_zip,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,record_id,state_code,suppression_used,total_amount_reimbursed,units_reimbursed
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,10/1,2013-10-01T00:00:00.000,12496,495761.01,12496120803,2518.7,1451,03,2013,1208,SUBOXONE,4,FFSU,CO,false,498279.71,71015
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,10/1,2013-10-01T00:00:00.000,12496,14798.39,12496120203,119.6,77,03,2013,1202,SUBOXONE,4,FFSU,CO,false,14917.99,3738
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,10/1,2013-10-01T00:00:00.000,00054,2881.93,00054457025,4.6,205,25,2013,4570,METHADONE,4,FFSU,CO,false,2886.53,19194
36.17,POINT (-119.7462 36.17),,,,,-119.7462,4/1,2013-04-01T00:00:00.000,00406,37580.75,00406577101,28,1922,01,2013,5771,METHADONE,2,MCOU,CA,false,37608.75,310633
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,1/1,2013-01-01T00:00:00.000,00054,642.51,00054355563,1.12,53,63,2013,3555,METHADONE,1,FFSU,CO,false,643.63,2724.1
36.17,POINT (-119.7462 36.17),,,,,-119.7462,7/1,2013-07-01T00:00:00.000,00406,43817.15,00406577101,0,2249,01,2013,5771,METHADONE,3,MCOU,CA,false,43817.15,377210
36.17,POINT (-119.7462 36.17),,,,,-119.7462,7/1,2013-07-01T00:00:00.000,00054,81733.12,00054457125,25.75,4362,25,2013,4571,METHADONE,3,MCOU,CA,false,81758.87,714587.5
36.17,POINT (-119.7462 36.17),,,,,-119.7462,1/1,2013-01-01T00:00:00.000,00054,3712.56,00054457025,0,557,25,2013,4570,METHADONE,1,MCOU,CA,false,3712.56,48341
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,4/1,2013-04-01T00:00:00.000,59011,5948.9,59011075104,0,24,04,2013,0751,BUTRANS,2,FFSU,CO,false,5948.9,106
36.17,POINT (-119.7462 36.17),,,,,-119.7462,10/1,2013-10-01T00:00:00.000,00054,3295.05,00054457025,0,504,25,2013,4570,METHADONE,4,MCOU,CA,false,3295.05,37870
