Yr,Org,Total Number of Prescriptions,Total Amount Reimbursed
2015,MCOU,62,471.67
2015,MCOU,62,774.17
2015,MCOU,622,8079.13
2015,MCOU,623,9822.41
2015,MCOU,63,1067.72
2015,MCOU,63,1445.97
2015,MCOU,63,1969.32
2015,MCOU,63,3330.37
2015,MCOU,63,476.29
2015,MCOU,63,549.16
2015,MCOU,63,6103.43
2015,MCOU,6351,885098.02
2015,MCOU,64,1482.13
2015,MCOU,64,1920.81
2015,MCOU,64,829.72
2015,MCOU,641,9770.31
2015,MCOU,642,8582.31
2015,MCOU,642,9306
2015,MCOU,65,1212.72
2015,MCOU,65,2404.33
2015,MCOU,65,2519.65
2015,MCOU,65,955.74
2015,MCOU,652,10016.75
2015,MCOU,652,9071.51
2015,MCOU,653,24272.85
2015,MCOU,657,14726.5
2015,MCOU,6595,81870.63
2015,MCOU,66,2532.65
2015,MCOU,66,826.18
2015,MCOU,66,970.06
2015,MCOU,660,10253.2
2015,MCOU,662,11607.7
2015,MCOU,663,20721.19
2015,MCOU,667,18061.53
2015,MCOU,668,11149.55
2015,MCOU,668,11676.41
2015,MCOU,668,11980.46
2015,MCOU,67,1127.05
2015,MCOU,67,18536.37
2015,MCOU,67,547.06
2015,MCOU,67,758.5
2015,MCOU,673,17392.24
2015,MCOU,674,16385.22
2015,MCOU,676,11049.17
2015,MCOU,679,22779.23
2015,MCOU,68,1680.83
2015,MCOU,68,2620.92
2015,MCOU,680,12795.63
2015,MCOU,687,15443.61
2015,MCOU,689,24531.76
2015,MCOU,69,11044.71
2015,MCOU,69,20762.71
2015,MCOU,69,9080.32
2015,MCOU,69,9379.5
2015,MCOU,69,999.29
2015,MCOU,697,10921.04
2015,MCOU,70,15498.6
2015,MCOU,70,9872.66
2015,MCOU,7010,939453.99
2015,MCOU,705,11859.21
2015,MCOU,71,5898.58
2015,MCOU,712,13044.87
2015,MCOU,714,16619.49
2015,MCOU,719,22659.99
2015,MCOU,72,1102.23
2015,MCOU,72,1127.14
2015,MCOU,72,1362.63
2015,MCOU,72,1451.68
2015,MCOU,72,460.54
2015,MCOU,72,7920.2
2015,MCOU,722,10335.13
2015,MCOU,723,10963.24
2015,MCOU,726,19996.7
2015,MCOU,7270,110104.76
2015,MCOU,7279,105832.16
2015,MCOU,73,1320.93
2015,MCOU,73,218.19
2015,MCOU,732,22016.6
2015,MCOU,738,11526.69
2015,MCOU,74,6638.26
2015,MCOU,7434,113043.95
2015,MCOU,75,1057.75
2015,MCOU,750,19191.34
2015,MCOU,751,13693.69
2015,MCOU,755,11618.08
2015,MCOU,757,185470.56
2015,MCOU,76,15630.59
2015,MCOU,77,1280.42
2015,MCOU,77,16807.83
2015,MCOU,777,16086.38
2015,MCOU,779,36825.34
2015,MCOU,78,10709.31
2015,MCOU,78,2925.05
2015,MCOU,78,3427.01
2015,MCOU,785,15766.93
2015,MCOU,788,27669
2015,MCOU,79,2375.36
2015,MCOU,79,686.93
2015,MCOU,79,9787.67
2015,MCOU,790,20929.69
2015,MCOU,792,18775.09
2015,MCOU,799,19186.07
2015,MCOU,80,2841.98
2015,MCOU,80,2854.52
2015,MCOU,80,3471.76
2015,MCOU,80,4514.67
2015,MCOU,804,13361.54
2015,MCOU,81,16891.94
2015,MCOU,81,3417.87
2015,MCOU,819,14573.88
2015,MCOU,819,26003.2
2015,MCOU,82,10548.91
2015,MCOU,82,15742.07
2015,MCOU,82,4077.65
2015,MCOU,829,18151.38
2015,MCOU,83,1193.54
2015,MCOU,83,17135.58
2015,MCOU,85,1101.65
2015,MCOU,85,2882.29
2015,MCOU,85,2987.33
2015,MCOU,85,3876.94
2015,MCOU,854,24289.81
2015,MCOU,856,12960.54
2015,MCOU,86,1285.16
2015,MCOU,865,27827.79
2015,MCOU,8683,1163764.54
2015,MCOU,87,1610.45
2015,MCOU,87,2248
2015,MCOU,87,3694.77
2015,MCOU,87,902.88
2015,MCOU,871,15614.55
2015,MCOU,872,10152.52
2015,MCOU,872,15692.25
2015,MCOU,872,27586.49
2015,MCOU,88,40347.35
2015,MCOU,89,27212.21
2015,MCOU,891,36156.78
2015,MCOU,892,17633
2015,MCOU,896,20131.29
2015,MCOU,899,19477.46
2015,MCOU,90,1042.52
2015,MCOU,90,1354.72
2015,MCOU,90,18454.54
2015,MCOU,905,12728.92
2015,MCOU,907,20654.87
2015,MCOU,908,22405.34
2015,MCOU,91,16323.17
2015,MCOU,91,17999.14
2015,MCOU,91,892.84
2015,MCOU,92,1517.01
2015,MCOU,924,21758.22
2015,MCOU,93,2706.1
2015,MCOU,93,2906.27
2015,MCOU,931,13250.17
2015,MCOU,95,15678.51
2015,MCOU,95,4147.59
2015,MCOU,96,13847.68
2015,MCOU,971,33268.09
2015,MCOU,972,37121.31
2015,MCOU,973,19985.17
2015,MCOU,98,21860.58
2015,MCOU,98,4085.88
2015,MCOU,984,23646.58
2015,MCOU,99,1029.93
2015,MCOU,99,1381.11
2015,MCOU,99,15224.83
2015,MCOU,99,3131.17
2015,MCOU,99,958.8
2016,FFSU,47,10006.54
2016,MCOU,55,1001.36
2016,FFSU,16,1002.2
2016,FFSU,42,1003.38
2016,MCOU,17,10066.17
2016,MCOU,585,10074.91
2016,FFSU,446,10075.26
2016,FFSU,357,100996.71
2016,FFSU,25,10128.76
2016,MCOU,330,10135.41
2016,MCOU,243,10154.88
2016,MCOU,58,1016.01
2016,MCOU,738,10160.22
2016,MCOU,19,10162.67
2016,FFSU,5223,1016888.21
2016,FFSU,578,10196.79
2016,MCOU,87,102.49
2016,FFSU,60,1023.04
2016,FFSU,48,1023.82
2016,MCOU,527,10230.77
2016,FFSU,42,1026.04
2016,MCOU,23,10261.6
2016,MCOU,5357,1026402.48
2016,FFSU,50,1027.38
2016,FFSU,16,1028.53
2016,FFSU,486,10299.71
2016,MCOU,188,1034.63
2016,FFSU,595,10344.19
2016,MCOU,34,10349.26
2016,MCOU,35,1035.54
2016,MCOU,48,1036.79
2016,FFSU,609,10367.35
2016,FFSU,16,1037.78
2016,FFSU,17,10375.05
2016,MCOU,2957,1037958.39
2016,MCOU,6823,103819.94
2016,FFSU,3428,1039046.58
2016,MCOU,13,104.32
2016,FFSU,53,1040.85
2016,MCOU,537,10406.81
2016,MCOU,32,10411.13
2016,MCOU,13,1042.52
2016,FFSU,18,10424.66
2016,FFSU,30,10440.41
2016,MCOU,95,10452.46
2016,MCOU,3289,104557.32
2016,FFSU,306,10485.71
2016,MCOU,40,1051.29
2016,FFSU,343,105163.8
2016,FFSU,462,10542.74
2016,FFSU,19,1055.01
2016,FFSU,736,105766.09
2016,FFSU,31,10596.22
2016,FFSU,596,105969.1
2016,FFSU,64,10625.13
2016,MCOU,41,1064.61
2016,FFSU,56,1064.95
2016,MCOU,62,1065.1
2016,MCOU,57,1065.23
2016,FFSU,16,1065.52
2016,FFSU,514,10662.01
2016,MCOU,77,10666.91
2016,MCOU,408,106962.38
2016,MCOU,12,107.05
2016,MCOU,66,1070.6
2016,MCOU,74,1072.34
2016,FFSU,28,1075.57
2016,FFSU,64,10750.88
2016,MCOU,14,1077.56
2016,MCOU,497,10786.38
2016,MCOU,73,1079.97
2016,MCOU,217,10793.82
2016,FFSU,35,1080.53
2016,FFSU,186,108194.44
2016,FFSU,70,1082.45
2016,MCOU,18,10823.19
2016,FFSU,80,1083.07
2016,FFSU,132,1083.24
2016,MCOU,48,10833.47
2016,FFSU,45,1085.64
2016,FFSU,3614,1085236.04
2016,MCOU,28,1087.8
2016,MCOU,67,10874.63
2016,MCOU,3505,108979.84
2016,FFSU,22,10914.08
2016,FFSU,33,10925.78
2016,MCOU,230,109320.81
2016,MCOU,444,10933.87
2016,FFSU,320,10947.13
2016,FFSU,60,1095.38
2016,FFSU,321,109874.38
2016,MCOU,55,1099.6
2016,MCOU,389,10992.11
2016,MCOU,314,10992.91
2016,MCOU,60,1100.29
2016,FFSU,42,11005.96
2016,MCOU,458,11007.05
2016,MCOU,53,1102.35
2016,FFSU,5675,1103240.42
2016,MCOU,746,11036.23
2016,FFSU,29,1107.41
2016,FFSU,360,11102.31
2016,FFSU,37,11106.89
2016,MCOU,479,11108.37
2016,MCOU,75,11114.31
2016,FFSU,50,1113.72
2016,MCOU,309,11139.21
2016,MCOU,38,1114.88
2016,FFSU,313,11146.15
2016,MCOU,363,11151.39
2016,FFSU,64,11156.07
2016,MCOU,57,1116.25
2016,MCOU,29,11160.47
2016,FFSU,25,11172.49
2016,MCOU,13,1118.33
2016,FFSU,205,111956.66
2016,MCOU,356,11205.16
2016,MCOU,20,1121.15
2016,FFSU,19,11223.48
2016,FFSU,53,1124.08
2016,MCOU,36,1126.73
2016,MCOU,35,1128.92
2016,MCOU,66,1128.98
2016,MCOU,3228,112961.93
2016,FFSU,73,1130.5
2016,FFSU,30,11303.18
2016,MCOU,40,1132.74
2016,MCOU,593,11343.47
2016,MCOU,651,11351.67
2016,MCOU,53,1136.86
2016,MCOU,410,11368.5
2016,FFSU,56,1137.01
2016,MCOU,64,11378.8
2016,FFSU,85,1138.17
2016,MCOU,651,11387.2
2016,MCOU,295,11389.83
2016,MCOU,353,11396.31
2016,MCOU,7211,113999.08
2016,MCOU,48,1140.46
2016,FFSU,269,114074.94
2016,MCOU,143,11418.51
2016,FFSU,48,1143.23
2016,FFSU,42,1144.99
2016,FFSU,56,1146.39
2016,MCOU,75,11461.31
2016,FFSU,71,1147.16
2016,MCOU,439,11475.94
2016,FFSU,322,11477.49
2016,MCOU,665,11484.9
2016,MCOU,130,11485.59
2016,FFSU,309,11486.1
2016,FFSU,64,1150.66
2016,FFSU,37,1151.29
2016,FFSU,43,1151.85
2016,FFSU,24,11513.68
2016,MCOU,33,11514.79
2016,FFSU,47,1152.58
2016,MCOU,550,11527.73
2016,MCOU,65,1153.1
2016,FFSU,363,11534.06
2016,MCOU,497,11536.24
2016,FFSU,69,1154.01
2016,MCOU,351,11594.44
2016,MCOU,319,11599.04
2016,MCOU,50,1160.61
2016,FFSU,107,1162.84
2016,MCOU,95,1163.14
2016,MCOU,49,1163.5
2016,MCOU,424,11647.52
2016,FFSU,80,1165.39
2016,FFSU,439,11658.55
2016,MCOU,465,11692.95
2016,FFSU,5964,117079.39
2016,FFSU,66,1172.93
2016,FFSU,48,1174.61
2016,MCOU,7706,117425.6
2016,FFSU,384,11798.5
2016,FFSU,24,118.16
2016,MCOU,696,11813.24
2016,MCOU,842,11816.73
2016,FFSU,54,1182.12
2016,MCOU,365,11849.12
2016,MCOU,3551,1185999.74
2016,FFSU,42,1186.51
2016,MCOU,23,11899.82
2016,MCOU,38,11902.74
2016,MCOU,368,11916.45
2016,FFSU,411,11959.52
2016,MCOU,20,11959.71
2016,MCOU,75,1196.14
2016,MCOU,98,1196.35
2016,MCOU,29,1196.86
2016,MCOU,3714,1197903.33
2016,FFSU,40,1199.01
2016,MCOU,12,120.4
2016,MCOU,22,120.93
2016,FFSU,35,12001.31
2016,FFSU,75,1201.48
2016,MCOU,201,120376.67
2016,FFSU,90,12041.66
2016,FFSU,215,120502.54
2016,FFSU,66,1206.7
2016,FFSU,326,120738.19
2016,FFSU,55,1208.14
2016,MCOU,22,12095.2
2016,MCOU,16,121.58
2016,FFSU,691,12100.95
2016,MCOU,967,121121.82
2016,MCOU,93,1213.93
2016,MCOU,659,12134.35
2016,MCOU,26,12147.8
2016,MCOU,55,1216.24
2016,FFSU,259,121675.27
2016,MCOU,93,1217.99
2016,MCOU,83,12198.07
2016,MCOU,17,122.66
2016,MCOU,406,12214.83
2016,FFSU,68,1224.05
2016,FFSU,968,122454.18
2016,FFSU,706,12261.37
2016,MCOU,72,12269.35
2016,MCOU,42,12269.5
2016,FFSU,33,1227.07
2016,FFSU,13,1227.64
2016,MCOU,67,12297.21
2016,FFSU,205,123100.62
2016,MCOU,852,12321.85
2016,MCOU,211,123245.58
2016,MCOU,692,12350.18
2016,FFSU,33,1236.32
2016,FFSU,76,1237.51
2016,MCOU,158,12378.79
2016,FFSU,57,1238.24
2016,FFSU,576,12388.38
2016,MCOU,387,12388.87
2016,FFSU,329,123904.92
2016,FFSU,4049,1239321.02
2016,MCOU,24,124.93
2016,FFSU,25,12401
2016,FFSU,473,12412.32
2016,MCOU,24,1242.05
2016,MCOU,52,1244.54
2016,MCOU,385,12451.63
2016,FFSU,53,1249.62
2016,MCOU,3460,125237.73
2016,FFSU,28,12529.68
2016,FFSU,75,1255.2
2016,MCOU,50,1255.56
2016,MCOU,38,1255.61
2016,MCOU,903,12567.66
2016,FFSU,4111,1257046.12
2016,MCOU,27,12620.48
2016,FFSU,517,12622.93
2016,FFSU,512,126678.49
2016,FFSU,14,127.86
2016,FFSU,262,127448.93
2016,MCOU,19,12755.09
2016,FFSU,46,1280.39
2016,FFSU,80,1280.81
2016,MCOU,18,12807.91
2016,FFSU,1399,128148.97
2016,MCOU,320,12847.38
2016,MCOU,917,12853.89
2016,FFSU,102,1288.8
2016,FFSU,720,12896.37
2016,MCOU,238,129008.4
2016,MCOU,51,1294.86
2016,FFSU,99,1294.89
2016,FFSU,79,12945.77
2016,MCOU,51,1295.95
2016,FFSU,715,12957.79
2016,FFSU,963,129668.21
2016,FFSU,13,130.29
2016,FFSU,411,13019.25
2016,MCOU,15,1302.85
2016,FFSU,55,1303.23
2016,MCOU,371,13039.43
2016,MCOU,41,13041.92
2016,MCOU,3765,130414.65
2016,FFSU,405,130484.76
2016,FFSU,3920,1307918.72
2016,FFSU,66,1308.38
2016,FFSU,66,1308.38
2016,MCOU,39,131.88
2016,MCOU,27,13157.24
2016,MCOU,6931,1315966.39
2016,MCOU,37,13165.83
2016,FFSU,43,13167.96
2016,MCOU,20,13169.31
2016,MCOU,31,1317.13
2016,MCOU,3989,1317969.37
2016,FFSU,116,1320.6
2016,FFSU,96,1320.84
2016,FFSU,688,13203
2016,MCOU,59,13207.02
2016,FFSU,606,13210.83
2016,MCOU,1071,13228.82
2016,FFSU,41,13251.07
2016,MCOU,36,1326.32
2016,MCOU,35,1326.56
2016,FFSU,1386,132639.72
2016,MCOU,75,13284.55
2016,FFSU,20,133.96
2016,MCOU,126,13300.67
2016,FFSU,28,1331.96
2016,MCOU,706,13337.93
2016,MCOU,4156,1334607.65
2016,FFSU,558,13347.25
2016,FFSU,38,1335.54
2016,FFSU,54,1335.59
2016,FFSU,6945,1338340.63
2016,FFSU,1396,133863.43
2016,FFSU,37,1341.76
2016,MCOU,71,1341.76
2016,MCOU,44,1343.09
2016,MCOU,30,13434.37
2016,FFSU,59,1344.74
2016,MCOU,85,13448.2
2016,FFSU,487,134644.4
2016,MCOU,407,13471.12
2016,FFSU,30,13507.59
2016,FFSU,21,13520.4
2016,FFSU,41,1354.93
2016,FFSU,385,13559.61
2016,MCOU,101,1357.58
2016,FFSU,59,13580.59
2016,MCOU,40,13584.63
2016,MCOU,34,1362.04
2016,FFSU,39,13658.88
2016,MCOU,67,1366.63
2016,FFSU,28,13661.48
2016,MCOU,14,1368.2
2016,FFSU,1526,136816.73
2016,MCOU,16,137.93
2016,FFSU,73,1370.37
2016,FFSU,69,13725.99
2016,MCOU,801,13742.97
2016,MCOU,89,1376.67
2016,FFSU,31,13768.4
2016,MCOU,469,13775.42
2016,FFSU,59,13776.64
2016,FFSU,54,1378.43
2016,MCOU,88,13783.72
2016,MCOU,17,138.83
2016,MCOU,905,13800.48
2016,FFSU,50,1383.86
2016,MCOU,79,1385.29
2016,MCOU,84,1389.34
2016,FFSU,241,139094.77
2016,FFSU,81,1393.9
2016,FFSU,526,13966.57
2016,MCOU,323,13972.98
2016,MCOU,30,1399.44
2016,FFSU,89,1399.67
2016,MCOU,30,14012.62
2016,MCOU,38,14039.98
2016,FFSU,32,14044.13
2016,FFSU,4384,1404464.82
2016,MCOU,75,1407.64
2016,MCOU,258,141175.36
2016,FFSU,99,1413.61
2016,MCOU,76,14132.01
2016,MCOU,533,14147.38
2016,FFSU,75,1415.45
2016,FFSU,100,1416.73
2016,MCOU,79,1419.45
2016,MCOU,1024,14195.89
2016,FFSU,65,1425.87
2016,MCOU,69,1427.45
2016,MCOU,449,143178.23
2016,FFSU,618,14335.82
2016,MCOU,407,14382.1
2016,MCOU,66,1441.2
2016,FFSU,100,1441.35
2016,FFSU,57,1443.58
2016,MCOU,471,14440.7
2016,FFSU,7804,1444269.24
2016,FFSU,81,1446.08
2016,FFSU,530,14468.66
2016,MCOU,6191,144732.61
2016,FFSU,930,14474.63
2016,FFSU,54,14476.43
2016,MCOU,32,14498
2016,FFSU,28,145.28
2016,FFSU,442,145266.82
2016,FFSU,482,14571.91
2016,FFSU,43,14580.7
2016,FFSU,7400,145836.05
2016,MCOU,13,146.09
2016,FFSU,13,146.57
2016,MCOU,34,14606.92
2016,FFSU,242,146178.61
2016,FFSU,80,1462.39
2016,MCOU,347,14661.68
2016,FFSU,303,146901.54
2016,MCOU,126,1471.63
2016,MCOU,59,14775.57
2016,FFSU,67,1479.44
2016,FFSU,93,1479.89
2016,MCOU,196,14797.11
2016,FFSU,505,14817.66
2016,FFSU,67,1482.29
2016,MCOU,978,14879.87
2016,MCOU,55,14883.3
2016,FFSU,58,14938.44
2016,FFSU,468,14939.96
2016,MCOU,5944,149495.45
2016,FFSU,80,1495.69
2016,FFSU,108,14954.64
2016,FFSU,467,14962.02
2016,FFSU,75,14967.5
2016,MCOU,81,1498.23
2016,MCOU,54,1498.94
2016,MCOU,16,150.3
2016,MCOU,248,15004.38
2016,FFSU,931,15018.52
2016,FFSU,49,15022.9
2016,MCOU,79,15033.06
2016,FFSU,496,150340.74
2016,MCOU,677,15053.85
2016,MCOU,99,1506.07
2016,FFSU,708,15076.38
2016,MCOU,25,1512.07
2016,FFSU,50,1513.21
2016,FFSU,254,151355.33
2016,MCOU,502,15146.83
2016,MCOU,548,15159.47
2016,MCOU,471,15165.27
2016,MCOU,1093,15171.12
2016,MCOU,167,15171.47
2016,MCOU,847,15182.83
2016,MCOU,525,15186.24
2016,FFSU,48,1519.88
2016,FFSU,14,152.32
2016,MCOU,12,152.81
2016,MCOU,42,1523.6
2016,MCOU,26,1524.53
2016,MCOU,1066,15241.86
2016,MCOU,913,15241.96
2016,FFSU,589,15263.33
2016,MCOU,57,1527.98
2016,MCOU,587,15295.7
2016,MCOU,27,153.5
2016,FFSU,52,1539.74
2016,MCOU,88,1539.9
2016,MCOU,431,15398.25
2016,MCOU,12,154.19
2016,FFSU,19,154.79
2016,FFSU,39,1540.89
2016,MCOU,525,15412.33
2016,FFSU,45,15412.56
2016,MCOU,85,1542.01
2016,MCOU,59,1543.38
2016,MCOU,701,15445.91
2016,FFSU,80,1546.29
2016,FFSU,70,1549.91
2016,MCOU,4697,1551624.29
2016,MCOU,1037,15554.51
2016,FFSU,440,155619.03
2016,FFSU,108,1557.13
2016,FFSU,682,155717.14
2016,MCOU,267,155757.29
2016,FFSU,65,1561.11
2016,MCOU,91,1561.52
2016,MCOU,38,15623.07
2016,MCOU,32,15626.68
2016,MCOU,13,1564.34
2016,MCOU,603,15657.4
2016,FFSU,105,1567.44
2016,FFSU,105,1568.57
2016,MCOU,19,1569.15
2016,MCOU,606,15712.59
2016,FFSU,58,1573.73
2016,FFSU,522,15732.14
2016,MCOU,99,1574.75
2016,FFSU,33,15743.81
2016,FFSU,6350,157438.91
2016,MCOU,51,15779.08
2016,FFSU,12,158.78
2016,MCOU,637,15811.84
2016,FFSU,47,15848.05
2016,MCOU,660,15850.42
2016,MCOU,65,15855.62
2016,MCOU,103,1586.58
2016,MCOU,1289,15886.2
2016,FFSU,16,1592.63
2016,MCOU,59,1597.92
2016,FFSU,249,159709.55
2016,FFSU,125,1599.87
2016,FFSU,15,160.33
2016,FFSU,76,16011.24
2016,FFSU,52,1603.5
2016,FFSU,53,1608.59
2016,MCOU,509,16082.27
2016,MCOU,964,16089.36
2016,MCOU,663,16091.31
2016,FFSU,20,161.08
2016,FFSU,21,161.95
2016,MCOU,499,16113.82
2016,MCOU,103,1614.14
2016,MCOU,1211,16144.94
2016,FFSU,248,161528.92
2016,FFSU,61,1617.83
2016,MCOU,1463,16174.94
2016,FFSU,14,162.51
2016,FFSU,80,1620.69
2016,FFSU,557,16221.68
2016,FFSU,606,16226.1
2016,FFSU,19,1634.09
2016,FFSU,552,16344.08
2016,FFSU,647,16346.62
2016,MCOU,1032,16358.49
2016,FFSU,82,1637.04
2016,FFSU,23,164.79
2016,MCOU,1045,16409.15
2016,FFSU,481,16425.54
2016,FFSU,654,16435.25
2016,MCOU,1062,16440.25
2016,FFSU,69,1646.2
2016,MCOU,928,16482.37
2016,MCOU,159,16487.62
2016,FFSU,60,1649.99
2016,FFSU,43,1651.92
2016,MCOU,65,16526.65
2016,MCOU,144,16533.9
2016,MCOU,779,16550.65
2016,FFSU,27,1657.06
2016,MCOU,54,1657.57
2016,MCOU,133,16570.89
2016,MCOU,96,1658.82
2016,MCOU,58,16585.3
2016,FFSU,111,1661.2
2016,MCOU,117,1663.77
2016,MCOU,58,1666.46
2016,MCOU,91,1667.02
2016,FFSU,602,16673.2
2016,FFSU,499,166975.43
2016,MCOU,14,167.1
2016,MCOU,951,16705.09
2016,MCOU,541,16720.17
2016,FFSU,89,1673.88
2016,MCOU,64,16764.77
2016,FFSU,45,16768.7
2016,MCOU,435,16775.7
2016,FFSU,16,1678.88
2016,FFSU,581,16782.03
2016,FFSU,443,168503.91
2016,FFSU,64,1686.36
2016,FFSU,956,168644.73
2016,MCOU,101,1687.28
2016,FFSU,15,169.38
2016,MCOU,41,1692.96
2016,MCOU,492,16935.86
2016,MCOU,637,16936.67
2016,MCOU,719,16954.54
2016,FFSU,7272,169598.58
2016,FFSU,105,16993.83
2016,MCOU,1597,17018.57
2016,MCOU,734,17037.57
2016,MCOU,83,1704.8
2016,MCOU,597,17070.71
2016,MCOU,1314,17086.48
2016,FFSU,19,1709.31
2016,MCOU,437,17096.16
2016,FFSU,78,1713.3
2016,MCOU,100,1714.56
2016,MCOU,34,1718.24
2016,FFSU,14,172.75
2016,MCOU,557,17214.93
2016,FFSU,543,17260.33
2016,FFSU,53,17279.94
2016,MCOU,111,1730.11
2016,FFSU,122,1737.9
2016,FFSU,66,1738.71
2016,MCOU,526,17392.74
2016,MCOU,29,1743.41
2016,MCOU,916,17443.47
2016,MCOU,510,17465.31
2016,MCOU,36,17465.96
2016,FFSU,89,1752.46
2016,FFSU,30,17523.96
2016,FFSU,31,17535.4
2016,FFSU,629,175357.52
2016,FFSU,65,1754.98
2016,MCOU,76,1755.86
2016,MCOU,18,1757.26
2016,FFSU,49,1758.99
2016,MCOU,1219,17584.47
2016,MCOU,60,17589.01
2016,FFSU,135,1760.08
2016,FFSU,104,1760.38
2016,MCOU,579,17615.33
2016,MCOU,54,17626.47
2016,FFSU,869,17637.56
2016,FFSU,118,1764.71
2016,FFSU,685,176585
2016,FFSU,58,17659.15
2016,MCOU,99,1767.17
2016,FFSU,78,1767.63
2016,MCOU,57,1768.33
2016,FFSU,13,177.27
2016,FFSU,6707,177242.65
2016,MCOU,100,17755.01
2016,MCOU,787,17769.14
2016,MCOU,28,17791.62
2016,MCOU,99,1780.88
2016,FFSU,53,17821.25
2016,FFSU,83,1783.81
2016,MCOU,58,17836.34
2016,FFSU,1122,17848.87
2016,MCOU,96,1785.92
2016,FFSU,79,1786.13
2016,MCOU,1139,17877.59
2016,MCOU,162,17886.87
2016,FFSU,1084,17886.95
2016,MCOU,17,1789.04
2016,MCOU,65,1791.33
2016,FFSU,138,1793.6
2016,FFSU,83,1794.91
2016,FFSU,126,1796.44
2016,FFSU,106,1798.87
2016,FFSU,57,17996.65
2016,MCOU,14,180.55
2016,MCOU,20,180.84
2016,FFSU,67,18014.45
2016,FFSU,82,1803.84
2016,FFSU,165,1804.43
2016,FFSU,102,1805.26
2016,FFSU,491,180529.5
2016,FFSU,164,1807.77
2016,FFSU,63,1808.51
2016,MCOU,30,181.54
2016,FFSU,659,181007.48
2016,FFSU,85,18143.93
2016,FFSU,87,1815.56
2016,FFSU,62,18164.04
2016,MCOU,38,1817.74
2016,FFSU,964,18175.82
2016,FFSU,65,1818.4
2016,MCOU,1242,18181.18
2016,MCOU,743,18199.39
2016,FFSU,13,182.72
2016,FFSU,11,1822.74
2016,MCOU,1270,18254.04
2016,FFSU,99,1827.05
2016,MCOU,59,1829.67
2016,MCOU,17,183.16
2016,FFSU,61,1831.88
2016,FFSU,29,1833.2
2016,MCOU,856,18372.32
2016,MCOU,316,183720.39
2016,FFSU,17,184.04
2016,FFSU,15,184.69
2016,MCOU,719,18469.82
2016,FFSU,833,18481.69
2016,FFSU,148,1851.97
2016,FFSU,289,185282.12
2016,FFSU,616,18549.82
2016,MCOU,667,18591.61
2016,MCOU,31,18598.85
2016,MCOU,1355,18603.12
2016,FFSU,123,1863.07
2016,FFSU,34,18634.46
2016,MCOU,68,1869.63
2016,MCOU,65,1869.84
2016,FFSU,109,1872.15
2016,FFSU,56,1873.47
2016,FFSU,103,1873.57
2016,MCOU,34,1879.07
2016,MCOU,31,18806.98
2016,FFSU,115,1881.99
2016,FFSU,90,1882.94
2016,MCOU,156,18836.43
2016,FFSU,7029,188516.68
2016,FFSU,56,18879.29
2016,MCOU,51,1889.39
2016,MCOU,14,189.44
2016,MCOU,36,189.75
2016,FFSU,126,1891.12
2016,FFSU,136,1892.24
2016,FFSU,66,18929.18
2016,FFSU,530,18964.6
2016,FFSU,53,18987.06
2016,FFSU,8035,189910.36
2016,FFSU,7045,190014.47
2016,MCOU,369,190093.42
2016,MCOU,48,19030.55
2016,FFSU,983,19046.56
2016,MCOU,41,19060.66
2016,FFSU,9460,190809.85
2016,FFSU,117,1909.16
2016,MCOU,56,19093.62
2016,FFSU,449,190994.2
2016,MCOU,13,1911.83
2016,FFSU,675,19139.15
2016,MCOU,1084,19159.89
2016,MCOU,35,19189.06
2016,FFSU,154,19214.15
2016,MCOU,57,1925.89
2016,MCOU,33,1927.64
2016,FFSU,843,192840.93
2016,FFSU,6240,1928596.82
2016,MCOU,1730,19307.05
2016,FFSU,88,1931.32
2016,FFSU,73,1932.26
2016,MCOU,1179,19367.2
2016,FFSU,40,19382.56
2016,MCOU,137,1941.39
2016,MCOU,808,19415.71
2016,MCOU,246,1943.82
2016,MCOU,106,1946.64
2016,MCOU,92,1947.45
2016,MCOU,37,195.73
2016,MCOU,115,1952.88
2016,MCOU,1177,19554.86
2016,FFSU,573,19557.14
2016,FFSU,652,19580.15
2016,MCOU,595,195963.72
2016,FFSU,27,1967.47
2016,MCOU,120,1968.13
2016,FFSU,1254,197060.9
2016,MCOU,78,1977.76
2016,MCOU,80,1979.21
2016,FFSU,10034,198413.34
2016,MCOU,523,19858.53
2016,FFSU,136,1987.73
2016,MCOU,70,19871.68
2016,MCOU,20,1988.61
2016,FFSU,23,1988.75
2016,MCOU,121,1989.61
2016,FFSU,15,199.52
2016,FFSU,15,199.84
2016,MCOU,60,1990.79
2016,MCOU,65,1991.25
2016,MCOU,226,1991.91
2016,MCOU,1037,19940.21
2016,FFSU,85,1995.42
2016,FFSU,1224,199533.67
2016,FFSU,29,1996.42
2016,MCOU,1286,19969.5
2016,MCOU,62,1998.95
2016,MCOU,18,200.67
2016,MCOU,128,2001.35
2016,FFSU,119,2001.73
2016,FFSU,134,2002.32
2016,MCOU,92,2002.48
2016,FFSU,14,201.81
2016,FFSU,14,201.85
2016,MCOU,674,20104.23
2016,MCOU,147,2011.13
2016,MCOU,23,2018.99
2016,MCOU,1264,20193.86
2016,MCOU,5427,2019700.28
2016,FFSU,18,202.03
2016,FFSU,19,202.14
2016,MCOU,1874,20203.28
2016,FFSU,467,20207.55
2016,FFSU,65,2021.33
2016,FFSU,12018,2023873.33
2016,FFSU,551,20251.63
2016,FFSU,149,2028.79
