_latitude,_location,_location_address,_location_city,_location_state,_location_zip,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,record_id,state_code,suppression_used,total_amount_reimbursed,units_reimbursed
43.4108,POINT (-71.5653 43.4108),,,,,-71.5653,1/1,2015-01-01T00:00:00.000,00054,,00054355344,,,44,2015,3553,METHADONE,1,MCOU,NH,true,,
39.0724,POINT (-76.7902 39.0724),,,,,-76.7902,7/1,2015-07-01T00:00:00.000,00054,,00054355663,,,63,2015,3556,METHADONE,3,FFSU,MD,true,,
37.768,POINT (-78.2057 37.768),,,,,-78.2057,1/1,2015-01-01T00:00:00.000,00054,903.27,00054457125,152.19,13,25,2015,4571,METHADONE,1,FFSU,VA,false,1055.46,4035
40.314,POINT (-74.5089 40.314),,,,,-74.5089,1/1,2015-01-01T00:00:00.000,68084,,68084073801,,,01,2015,0738,METHADONE,1,MCOU,NJ,true,,
31.1801,POINT (-91.8749 31.1801),,,,,-91.8749,10/1,2015-10-01T00:00:00.000,00406,,00406575562,,,62,2015,5755,METHADONE,4,MCOU,LA,true,,
40.5773,POINT (-77.264 40.5773),,,,,-77.264,7/1,2015-07-01T00:00:00.000,66689,,66689069430,,,30,2015,0694,METHADONE,3,MCOU,PA,true,,
44.5672,POINT (-122.1269 44.5672),,,,,-122.1269,4/1,2015-04-01T00:00:00.000,00054,,00054355563,,,63,2015,3555,METHADONE,2,MCOU,OR,true,,
42.7475,POINT (-107.2085 42.7475),,,,,-107.2085,1/1,2015-01-01T00:00:00.000,67877,406.33,67877011601,0,18,01,2015,0116,METHADONE,1,FFSU,WY,false,406.33,2469
40.5773,POINT (-77.264 40.5773),,,,,-77.264,1/1,2015-01-01T00:00:00.000,00406,,00406577123,,,23,2015,5771,METHADONE,1,MCOU,PA,true,,
38.4623,POINT (-92.302 38.4623),,,,,-92.302,4/1,2015-04-01T00:00:00.000,66689,,66689069430,,,30,2015,0694,METHADONE,2,FFSU,MO,true,,
33.8191,POINT (-80.9066 33.8191),,,,,-80.9066,1/1,2015-01-01T00:00:00.000,66689,,66689071216,,,16,2015,0712,METHADONE,1,FFSU,SC,true,,
