Utilization Type,State,Labeler Code,Product Code,Package Size,Year,Quarter,Product Name,Suppression Used,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non Medicaid Amount Reimbursed,Quarter Begin,Quarter Begin Date,Latitude,Longitude,Location,NDC
MCOU,HI,00054,4571,25,2012,3,METHADONE,false,130542,818,16214.64,16214.64,0,7/1,07/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054457125
MCOU,HI,00054,3553,44,2012,3,METHADONE,true,,,,,,7/1,07/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054355344
MCOU,HI,00054,4570,25,2012,2,METHADONE,false,4390,46,18461.33,18461.33,0,4/1,04/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00054457025
FFSU,CO,12496,1208,03,2012,3,SUBOXONE,false,35508,726,255152.6,253610.16,1542.44,7/1,07/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",12496120803
FFSU,CO,12496,1306,02,2012,3,SUBOXONE,false,16528,285,140537.55,138011.22,2526.33,7/1,07/01/2012,39.0646,-105.3272,"(39.0646, -105.3272)",12496130602
MCOU,CA,00054,4571,25,2012,2,METHADONE,false,989318,5539,116930.15,116809.94,120.21,4/1,04/01/2012,36.17,-119.7462,"(36.17, -119.7462)",00054457125
MCOU,XX,00054,4570,25,2012,3,METHADONE,false,375218.002,4478,31192.31,30027.66,1164.65,7/1,07/01/2012,,,,00054457025
MCOU,CA,00054,4570,25,2012,2,METHADONE,false,44601,504,3774.44,3774.44,0,4/1,04/01/2012,36.17,-119.7462,"(36.17, -119.7462)",00054457025
MCOU,XX,00054,4570,25,2012,4,METHADONE,false,346568.5,4335,27554.54,26345.34,1209.2,10/1,10/01/2012,,,,00054457025
MCOU,XX,00054,3556,63,2012,1,METHADONE,false,46669.753,97,5080.84,4993.11,87.73,1/1,01/01/2012,,,,00054355663
MCOU,HI,00406,5755,01,2012,1,METHADONE,true,,,,,,1/1,01/01/2012,21.1098,-157.5311,"(21.1098, -157.5311)",00406575501
MCOU,CA,00406,5755,01,2012,3,METHADONE,false,27035,331,2459.08,2459.08,0,7/1,07/01/2012,36.17,-119.7462,"(36.17, -119.7462)",00406575501
