_latitude,_location,_location_address,_location_city,_location_state,_location_zip,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,record_id,state_code,suppression_used,total_amount_reimbursed,units_reimbursed
36.17,POINT (-119.7462 36.17),,,,,-119.7462,4/1,2014-04-01T00:00:00.000,67877,17481.39,67877011601,0,1147,01,2014,0116,METHADONE,2,MCOU,CA,false,17481.39,157141
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,10/1,2014-10-01T00:00:00.000,59011,33585.35,59011075204,796.41,81,04,2014,0752,BUTRANS,4,FFSU,CO,false,34381.76,315
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,10/1,2014-10-01T00:00:00.000,12496,932818.24,12496120803,4049.14,2776,03,2014,1208,SUBOXONE,4,FFSU,CO,false,936867.38,134638
33.7712,POINT (-111.3877 33.7712),,,,,-111.3877,7/1,2014-07-01T00:00:00.000,12496,102074.37,12496120803,1558.9,541,03,2014,1208,SUBOXONE,3,MCOU,AZ,false,103633.27,14460
,,,,,,,10/1,2014-10-01T00:00:00.000,67877,39598.24,67877011601,851.25,1983,01,2014,0116,METHADONE,4,FFSU,XX,false,40449.49,265682
40.3736,POINT (-82.7755 40.3736),,,,,-82.7755,4/1,2014-04-01T00:00:00.000,00406,2628.38,00406575501,0,533,01,2014,5755,METHADONE,2,MCOU,OH,false,2628.38,38620
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,4/1,2014-04-01T00:00:00.000,00054,14946.07,00054457125,72.88,725,25,2014,4571,METHADONE,2,FFSU,CO,false,15018.95,103130
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,7/1,2014-07-01T00:00:00.000,00054,15682.14,00054457125,104.55,764,25,2014,4571,METHADONE,3,FFSU,CO,false,15786.69,108364
44.5672,POINT (-122.1269 44.5672),,,,,-122.1269,10/1,2014-10-01T00:00:00.000,00054,4303.62,00054457025,123.79,258,25,2014,4570,METHADONE,4,MCOU,OR,false,4427.41,21623
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,7/1,2014-07-01T00:00:00.000,12496,935552.95,12496120803,2580.98,2809,03,2014,1208,SUBOXONE,3,FFSU,CO,false,938133.93,134609
,,,,,,,7/1,2014-07-01T00:00:00.000,00054,341470.54,00054457125,13672.98,19084,25,2014,4571,METHADONE,3,FFSU,XX,false,355143.52,2596080.7
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,1/1,2014-01-01T00:00:00.000,00406,18843.85,00406577101,147.9,799,01,2014,5771,METHADONE,1,FFSU,CO,false,18991.75,130445
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,7/1,2014-07-01T00:00:00.000,00406,25770.72,00406577101,76.21,1112,01,2014,5771,METHADONE,3,FFSU,CO,false,25846.93,178378
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,10/1,2014-10-01T00:00:00.000,67877,3023.66,67877011601,9.57,118,01,2014,0116,METHADONE,4,FFSU,CO,false,3033.23,16365
39.8647,POINT (-86.2604 39.8647),,,,,-86.2604,10/1,2014-10-01T00:00:00.000,00054,57236.63,00054457125,4678.58,1906,25,2014,4571,METHADONE,4,FFSU,IN,false,61915.21,280442.999
36.17,POINT (-119.7462 36.17),,,,,-119.7462,1/1,2014-01-01T00:00:00.000,67877,15188.47,67877011601,0,977,01,2014,0116,METHADONE,1,MCOU,CA,false,15188.47,131362
33.7712,POINT (-111.3877 33.7712),,,,,-111.3877,7/1,2014-07-01T00:00:00.000,00406,18879.64,00406577101,2.66,1312,01,2014,5771,METHADONE,3,MCOU,AZ,false,18882.3,177969
36.17,POINT (-119.7462 36.17),,,,,-119.7462,4/1,2014-04-01T00:00:00.000,00406,49046,00406577101,0,2864,01,2014,5771,METHADONE,2,MCOU,CA,false,49046,458229
41.5834,POINT (-72.7622 41.5834),,,,,-72.7622,4/1,2014-04-01T00:00:00.000,00406,6812.94,00406577101,79.31,373,01,2014,5771,METHADONE,2,FFSU,CT,false,6892.25,58059
36.17,POINT (-119.7462 36.17),,,,,-119.7462,4/1,2014-04-01T00:00:00.000,00054,3092.6,00054457025,0,522,25,2014,4570,METHADONE,2,MCOU,CA,false,3092.6,36460
40.1135,POINT (-111.8535 40.1135),,,,,-111.8535,7/1,2014-07-01T00:00:00.000,00406,2310.16,00406577101,0,204,01,2014,5771,METHADONE,3,FFSU,UT,false,2310.16,21305
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,1/1,2014-01-01T00:00:00.000,00406,2234.69,00406575501,0.98,172,01,2014,5755,METHADONE,1,FFSU,CO,false,2235.67,14480
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,4/1,2014-04-01T00:00:00.000,00406,2828.16,00406575501,16.5,229,01,2014,5755,METHADONE,2,FFSU,CO,false,2844.66,17584
,,,,,,,7/1,2014-07-01T00:00:00.000,00054,31569.88,00054457025,1813.72,3601,25,2014,4570,METHADONE,3,FFSU,XX,false,33383.6,288089
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,7/1,2014-07-01T00:00:00.000,00054,3846.02,00054457025,31.23,275,25,2014,4570,METHADONE,3,FFSU,CO,false,3877.25,27832
41.5834,POINT (-72.7622 41.5834),,,,,-72.7622,4/1,2014-04-01T00:00:00.000,67877,2066.39,67877011601,0,124,01,2014,0116,METHADONE,2,FFSU,CT,false,2066.39,17188
