_latitude,_location,_location_address,_location_city,_location_state,_location_zip,_longitude,_quarter_begin,_quarter_begin_date,labeler_code,medicaid_amount_reimbursed,ndc,non_medicaid_amount_reimbursed,number_of_prescriptions,package_size,period_covered,product_code,product_fda_list_name,quarter,record_id,state_code,suppression_used,total_amount_reimbursed,units_reimbursed
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,4/1,2012-04-01T00:00:00.000,00054,1827.72,00054457025,5.2,165,25,2012,4570,METHADONE,2,FFSU,CO,false,1832.92,14718.4
21.1098,POINT (-157.5311 21.1098),,,,,-157.5311,4/1,2012-04-01T00:00:00.000,00406,6988.61,00406577101,0,357,01,2012,5771,METHADONE,2,MCOU,HI,false,6988.61,56222
,,,,,,,10/1,2012-10-01T00:00:00.000,00406,405139.75,00406577101,4295.16,25808,01,2012,5771,METHADONE,4,MCOU,XX,false,409434.91,3925382.502
,,,,,,,4/1,2012-04-01T00:00:00.000,00054,43492.81,00054457025,1032.34,4052,25,2012,4570,METHADONE,2,MCOU,XX,false,44525.15,331352.5
21.1098,POINT (-157.5311 21.1098),,,,,-157.5311,10/1,2012-10-01T00:00:00.000,00054,17224.4,00054457125,0,857,25,2012,4571,METHADONE,4,MCOU,HI,false,17224.4,139308
36.17,POINT (-119.7462 36.17),,,,,-119.7462,4/1,2012-04-01T00:00:00.000,00406,40385.07,00406577101,25.47,1992,01,2012,5771,METHADONE,2,MCOU,CA,false,40410.54,331895
21.1098,POINT (-157.5311 21.1098),,,,,-157.5311,10/1,2012-10-01T00:00:00.000,00406,,00406577162,,,62,2012,5771,METHADONE,4,MCOU,HI,true,,
,,,,,,,7/1,2012-07-01T00:00:00.000,00054,653330.09,00054457125,12535.88,39832,25,2012,4571,METHADONE,3,MCOU,XX,false,665865.97,6082408.001
36.17,POINT (-119.7462 36.17),,,,,-119.7462,4/1,2012-04-01T00:00:00.000,00054,3774.44,00054457025,0,504,25,2012,4570,METHADONE,2,MCOU,CA,false,3774.44,44601
21.1098,POINT (-157.5311 21.1098),,,,,-157.5311,4/1,2012-04-01T00:00:00.000,00054,,00054355563,,,63,2012,3555,METHADONE,2,MCOU,HI,true,,
36.17,POINT (-119.7462 36.17),,,,,-119.7462,1/1,2012-01-01T00:00:00.000,00054,95072.39,00054457125,32.25,4576,25,2012,4571,METHADONE,1,MCOU,CA,false,95104.64,810183
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,1/1,2012-01-01T00:00:00.000,00054,18717.79,00054457125,21.5,706,25,2012,4571,METHADONE,1,FFSU,CO,false,18739.29,121746.9
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,4/1,2012-04-01T00:00:00.000,00054,19943.58,00054457125,112.21,782,25,2012,4571,METHADONE,2,FFSU,CO,false,20055.79,132343
,,,,,,,7/1,2012-07-01T00:00:00.000,00406,27945.77,00406575501,585.68,4133,01,2012,5755,METHADONE,3,MCOU,XX,false,28531.45,341099.5
,,,,,,,7/1,2012-07-01T00:00:00.000,00406,406522.16,00406577101,4580.88,24840,01,2012,5771,METHADONE,3,MCOU,XX,false,411103.04,3818399.5
,,,,,,,1/1,2012-01-01T00:00:00.000,00406,360506.09,00406577101,1760.91,21389,01,2012,5771,METHADONE,1,MCOU,XX,false,362267,3255606.801
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,10/1,2012-10-01T00:00:00.000,12496,146859.49,12496130602,829.85,268,02,2012,1306,SUBOXONE,4,FFSU,CO,false,147689.34,15226
21.1098,POINT (-157.5311 21.1098),,,,,-157.5311,1/1,2012-01-01T00:00:00.000,00406,,00406575501,,,01,2012,5755,METHADONE,1,MCOU,HI,true,,
21.1098,POINT (-157.5311 21.1098),,,,,-157.5311,4/1,2012-04-01T00:00:00.000,00406,,00406575501,,,01,2012,5755,METHADONE,2,MCOU,HI,true,,
,,,,,,,4/1,2012-04-01T00:00:00.000,00054,556098.84,00054457125,7467.96,32267,25,2012,4571,METHADONE,2,MCOU,XX,false,563566.8,5158809.031
21.1098,POINT (-157.5311 21.1098),,,,,-157.5311,10/1,2012-10-01T00:00:00.000,00054,,00054355563,,,63,2012,3555,METHADONE,4,MCOU,HI,true,,
,,,,,,,7/1,2012-07-01T00:00:00.000,00054,703903.98,00054457125,31596.16,38705,25,2012,4571,METHADONE,3,FFSU,XX,false,735500.14,5883731.5
39.0646,POINT (-105.3272 39.0646),,,,,-105.3272,1/1,2012-01-01T00:00:00.000,12496,144645.99,12496130602,1154.74,342,02,2012,1306,SUBOXONE,1,FFSU,CO,false,145800.73,18620.7
47.3917,POINT (-121.5708 47.3917),,,,,-121.5708,1/1,2012-01-01T00:00:00.000,00406,146.86,00406575501,0,20,01,2012,5755,METHADONE,1,MCOU,WA,false,146.86,1538
21.1098,POINT (-157.5311 21.1098),,,,,-157.5311,7/1,2012-07-01T00:00:00.000,00406,,00406577101,,,01,2012,5771,METHADONE,3,FFSU,HI,true,,
,,,,,,,4/1,2012-04-01T00:00:00.000,00406,444667.5,00406577101,13000.86,24881,01,2012,5771,METHADONE,2,FFSU,XX,false,457668.36,3708917.101
